道具编号,道具名称编号,道具名称,模型编号,作用范围,附加状态编号,道具价格,解锁关卡,解锁价格,道具描述编号,道具描述
ItemId[string],ItemName[string],,ModelId[string],EffectArea[string],BuffId[vector<string>],ItemPrice[string],UnlockMission[string],UnlockGold[string],ItemDescription[string],
500001,tid#ItemName1,雷管,daoju1,50,,200,400001_1,20000,tid#ItemDescription1,对小范围内目标造成群体伤害。
500002,tid#ItemName2,燃烧瓶,daoju2,50,600001,300,400001_2,40000,tid#ItemDescription2,使小范围内目标燃烧，持续造成伤害。
500003,tid#ItemName3,地雷,daoju3,50,,400,400001_3,60000,tid#ItemDescription3,在地面随机产生3枚地雷。
500004,tid#ItemName4,暴风雪,daoju4,1136,600002;600003,800,400001_4,80000,tid#ItemDescription4,寒冰刺骨的冷风，对全体怪物造成伤害并减速。
500005,tid#ItemName5,陨石,daoju5,200,,1500,400001_5,100000,tid#ItemDescription5,对较大范围内所有怪物造成较大伤害。
500006,tid#ItemName6,原子弹,daoju6,1136,,2000,400001_6,120000,tid#ItemDescription6,对所有怪物造成致命伤害。
500007,tid#ItemName7,震荡弹,daoju7,200,,500,400001_7,20000,tid#ItemDescription7,对小范围怪物造成眩晕
500008,tid#ItemName8,润滑油,daoju8,300,,600,400001_8,20000,tid#ItemDescription8,对小范围怪物进行减速
500009,tid#ItemName9,强力弹簧,daoju9,50,,500,400001_9,30000,tid#ItemDescription9,可以弹飞单个非BOSS的单位
500010,tid#ItemName10,地钉,daoju10,100,,300,400001_10,30000,tid#ItemDescription10,对小范围的怪物造成持续伤害
