防御编号,防御名称,强化等级,伤害,眩晕,减速,强化费用
DefenceId[string],,StrengthenLevel[int],Damage[int],Vertigo[string],Deceleration[string],StrengthenGold[string]
500001_0,雷管,0,50,,,500
500001_1,雷管,1,55,,,1000
500001_2,雷管,2,60,,,1500
500001_3,雷管,3,66,,,2000
500001_4,雷管,4,73,,,2500
500001_5,雷管,5,80,,,3000
500001_6,雷管,6,88,,,3500
500001_7,雷管,7,97,,,4000
500001_8,雷管,8,107,,,4500
500001_9,雷管,9,117,,,5000
500001_10,雷管,10,129,,,max
500002_0,燃烧瓶,0,10,,,500
500002_1,燃烧瓶,1,11,,,1000
500002_2,燃烧瓶,2,12,,,1500
500002_3,燃烧瓶,3,13,,,2000
500002_4,燃烧瓶,4,14,,,2500
500002_5,燃烧瓶,5,16,,,3000
500002_6,燃烧瓶,6,17,,,3500
500002_7,燃烧瓶,7,19,,,4000
500002_8,燃烧瓶,8,21,,,4500
500002_9,燃烧瓶,9,23,,,5000
500002_10,燃烧瓶,10,25,,,max
500003_0,地雷,0,50,,,500
500003_1,地雷,1,60,,,1000
500003_2,地雷,2,72,,,1500
500003_3,地雷,3,86,,,2000
500003_4,地雷,4,104,,,2500
500003_5,地雷,5,124,,,3000
500003_6,地雷,6,149,,,3500
500003_7,地雷,7,179,,,4000
500003_8,地雷,8,215,,,4500
500003_9,地雷,9,258,,,5000
500003_10,地雷,10,310,,,max
500005_0,陨石,0,120,,,500
500005_1,陨石,1,144,,,1000
500005_2,陨石,2,173,,,1500
500005_3,陨石,3,207,,,2000
500005_4,陨石,4,249,,,2500
500005_5,陨石,5,299,,,3000
500005_6,陨石,6,358,,,3500
500005_7,陨石,7,430,,,4000
500005_8,陨石,8,516,,,4500
500005_9,陨石,9,619,,,5000
500005_10,陨石,10,743,,,max
500006_0,原子弹,0,500,,,500
500006_1,原子弹,1,550,,,1000
500006_2,原子弹,2,605,,,1500
500006_3,原子弹,3,665,,,2000
500006_4,原子弹,4,732,,,2500
500006_5,原子弹,5,805,,,3000
500006_6,原子弹,6,885,,,3500
500006_7,原子弹,7,974,,,4000
500006_8,原子弹,8,1071,,,4500
500006_9,原子弹,9,1178,,,5000
500006_10,原子弹,10,1296,,,max
500007_0,震荡弹,0,8,8,,1000
500007_1,震荡弹,1,11,8.5,,2000
500007_2,震荡弹,2,15,9,,3000
500007_3,震荡弹,3,21,9.5,,6000
500007_4,震荡弹,4,26,10,,9000
500007_5,震荡弹,5,32,10.5,,max
500008_0,润滑油,0,,,0.3,1000
500008_1,润滑油,1,,,0.35,2000
500008_2,润滑油,2,,,0.45,3000
500008_3,润滑油,3,,,0.5,6000
500008_4,润滑油,4,,,0.55,9000
500008_5,润滑油,5,,,0.6,max
500009_0,地钉,0,10,,,500
500009_1,地钉,1,12,,,1000
500009_2,地钉,2,14,,,1500
500009_3,地钉,3,16,,,2000
500009_4,地钉,4,18,,,2500
500009_5,地钉,5,20,,,3000
500009_6,地钉,6,22,,,3500
500009_7,地钉,7,24,,,4000
500009_8,地钉,8,26,,,4500
500009_9,地钉,9,28,,,5000
500009_10,地钉,10,30,,,max
