关卡编号,iphone5s
MissionId[string],iphone5s[vector<float>],iphone5s_yy[vector<float>]
400001_1,162;197,236;155
400001_2,350;286,405;298
400001_3,441;216,
400001_4,580;324,
400001_5,718;317,655;388
400001_6,729;426,715;484
400001_7,863;415,875;482
400001_8,817;257,
400001_9,712;187,717;110
400001_10,947;181,935;259
400002_1,188;262,239;284
400002_2,364;156,427;178
400002_3,337;336,402;322
400002_4,529;317,591;329
400002_5,442;494,514;484
400002_6,751;506,805;510
400002_7,790;358,875;482
400002_8,688;208,761;212
400002_9,941;258,717;110
400002_10,952;447,1006;465
400003_1,94;436,
400003_2,262;323,
400003_3,401;230,320;260
400003_4,428;60,
400003_5,655;128,
400003_6,615;313,
400003_7,461;467,587;426
400003_8,749;468,
400003_9,859;263,916;218
400003_10,1040;435,
400004_1,123;428,
400004_2,176;212,
400004_3,361;98,
400004_4,380;297,
400004_5,498;492,
400004_6,723;446,
400004_7,608;283,
400004_8,745;96,
400004_9,893;253,
400004_10,1018;392,
