武器编号,武器名称,强化等级,伤害,强化费用
Id[string],,StrengthenLevel[int],Damage[int],StrengthenGold[string]
200003_0,线膛燧发枪,0,20,200
200003_1,线膛燧发枪,1,24,300
200003_2,线膛燧发枪,2,29,400
200003_3,线膛燧发枪,3,35,500
200003_4,线膛燧发枪,4,42,600
200003_5,线膛燧发枪,5,46,700
200003_6,线膛燧发枪,6,51,800
200003_7,线膛燧发枪,7,56,900
200003_8,线膛燧发枪,8,62,1000
200003_9,线膛燧发枪,9,68,1100
200003_10,线膛燧发枪,10,75,1200
200003_11,线膛燧发枪,11,83,1300
200003_12,线膛燧发枪,12,91,1400
200003_13,线膛燧发枪,13,100,1500
200003_14,线膛燧发枪,14,110,1600
200003_15,线膛燧发枪,15,121,1700
200003_16,线膛燧发枪,16,133,1800
200003_17,线膛燧发枪,17,146,1900
200003_18,线膛燧发枪,18,161,2000
200003_19,线膛燧发枪,19,177,2100
200003_20,线膛燧发枪,20,195,max
200005_0,UZI,0,15,200
200005_1,UZI,1,17,300
200005_2,UZI,2,18,400
200005_3,UZI,3,20,500
200005_4,UZI,4,21,600
200005_5,UZI,5,23,700
200005_6,UZI,6,24,800
200005_7,UZI,7,26,900
200005_8,UZI,8,27,1000
200005_9,UZI,9,29,1100
200005_10,UZI,10,30,1200
200005_11,UZI,11,32,1300
200005_12,UZI,12,33,1400
200005_13,UZI,13,35,1500
200005_14,UZI,14,36,1600
200005_15,UZI,15,38,1700
200005_16,UZI,16,39,1800
200005_17,UZI,17,41,1900
200005_18,UZI,18,42,2000
200005_19,UZI,19,44,2100
200005_20,UZI,20,45,max
200007_0,AK47,0,80,200
200007_1,AK47,1,96,300
200007_2,AK47,2,115,400
200007_3,AK47,3,138,500
200007_4,AK47,4,166,600
200007_5,AK47,5,183,700
200007_6,AK47,6,201,800
200007_7,AK47,7,221,900
200007_8,AK47,8,243,1000
200007_9,AK47,9,267,1100
200007_10,AK47,10,294,1200
200007_11,AK47,11,323,1300
200007_12,AK47,12,355,1400
200007_13,AK47,13,391,1500
200007_14,AK47,14,430,1600
200007_15,AK47,15,473,1700
200007_16,AK47,16,520,1800
200007_17,AK47,17,572,1900
200007_18,AK47,18,629,2000
200007_19,AK47,19,692,2100
200007_20,AK47,20,761,max
200008_0,纳米电锯,0,120,200
200008_1,纳米电锯,1,132,300
200008_2,纳米电锯,2,145,400
200008_3,纳米电锯,3,160,500
200008_4,纳米电锯,4,176,600
200008_5,纳米电锯,5,194,700
200008_6,纳米电锯,6,213,800
200008_7,纳米电锯,7,234,900
200008_8,纳米电锯,8,257,1000
200008_9,纳米电锯,9,283,1100
200008_10,纳米电锯,10,311,1200
200008_11,纳米电锯,11,342,1300
200008_12,纳米电锯,12,376,1400
200008_13,纳米电锯,13,414,1500
200008_14,纳米电锯,14,455,1600
200008_15,纳米电锯,15,501,1700
200008_16,纳米电锯,16,551,1800
200008_17,纳米电锯,17,606,1900
200008_18,纳米电锯,18,667,2000
200008_19,纳米电锯,19,734,2100
200008_20,纳米电锯,20,807,max
200009_0,十字弩,0,120,200
200009_1,十字弩,1,132,300
200009_2,十字弩,2,145,400
200009_3,十字弩,3,160,500
200009_4,十字弩,4,176,600
200009_5,十字弩,5,194,700
200009_6,十字弩,6,213,800
200009_7,十字弩,7,234,900
200009_8,十字弩,8,257,1000
200009_9,十字弩,9,283,1100
200009_10,十字弩,10,311,1200
200009_11,十字弩,11,342,1300
200009_12,十字弩,12,376,1400
200009_13,十字弩,13,414,1500
200009_14,十字弩,14,455,1600
200009_15,十字弩,15,501,1700
200009_16,十字弩,16,551,1800
200009_17,十字弩,17,606,1900
200009_18,十字弩,18,667,2000
200009_19,十字弩,19,734,2100
200009_20,十字弩,20,807,max
200010_0,死神,0,240,200
200010_1,死神,1,264,300
200010_2,死神,2,290,400
200010_3,死神,3,319,500
200010_4,死神,4,351,600
200010_5,死神,5,386,700
200010_6,死神,6,425,800
200010_7,死神,7,468,900
200010_8,死神,8,515,1000
200010_9,死神,9,567,1100
200010_10,死神,10,624,1200
200010_11,死神,11,686,1300
200010_12,死神,12,755,1400
200010_13,死神,13,831,1500
200010_14,死神,14,914,1600
200010_15,死神,15,1005,1700
200010_16,死神,16,1106,1800
200010_17,死神,17,1217,1900
200010_18,死神,18,1339,2000
200010_19,死神,19,1473,2100
200010_20,死神,20,1620,max
200011_0,加农炮,0,160,200
200011_1,加农炮,1,176,300
200011_2,加农炮,2,194,400
200011_3,加农炮,3,213,500
200011_4,加农炮,4,234,600
200011_5,加农炮,5,257,700
200011_6,加农炮,6,283,800
200011_7,加农炮,7,311,900
200011_8,加农炮,8,342,1000
200011_9,加农炮,9,376,1100
200011_10,加农炮,10,414,1200
200011_11,加农炮,11,455,1300
200011_12,加农炮,12,501,1400
200011_13,加农炮,13,551,1500
200011_14,加农炮,14,606,1600
200011_15,加农炮,15,667,1700
200011_16,加农炮,16,734,1800
200011_17,加农炮,17,807,1900
200011_18,加农炮,18,888,2000
200011_19,加农炮,19,977,2100
200011_20,加农炮,20,1075,max
200012_0,火焰发射器,0,60,200
200012_1,火焰发射器,1,66,300
200012_2,火焰发射器,2,73,400
200012_3,火焰发射器,3,80,500
200012_4,火焰发射器,4,88,600
200012_5,火焰发射器,5,97,700
200012_6,火焰发射器,6,107,800
200012_7,火焰发射器,7,118,900
200012_8,火焰发射器,8,130,1000
200012_9,火焰发射器,9,143,1100
200012_10,火焰发射器,10,157,1200
200012_11,火焰发射器,11,173,1300
200012_12,火焰发射器,12,190,1400
200012_13,火焰发射器,13,209,1500
200012_14,火焰发射器,14,230,1600
200012_15,火焰发射器,15,253,1700
200012_16,火焰发射器,16,278,1800
200012_17,火焰发射器,17,306,1900
200012_18,火焰发射器,18,337,2000
200012_19,火焰发射器,19,371,2100
200012_20,火焰发射器,20,408,max
